component,stage,stage_label,split,split_label,unit,n_samples,seq_len,n_values,mean,std,median,q01,q05,q25,q75,q95,q99,min,max,train_test_mean_shift,train_test_std_ratio,mean_shift_from_train,std_ratio_from_train,source_panel_group
x,raw_gam,raw GAM $\chi^\mathrm{G}$,train,Training,mas,8371,360,3013560,64.37734658339136,37.99994254690919,62.309810638427734,-7.885044097900391,11.155196189880371,40.37733459472656,87.89863586425781,121.4433822631836,143.87911987304688,-1509.18896484375,1142.5076904296875,75.98400196560206,0.6910649012148558,0.0,1.0,distribution_shift
y,raw_gam,raw GAM $\chi^\mathrm{G}$,train,Training,mas,8371,360,3013560,-339.0557824561657,42.94464051402347,-338.70245361328125,-438.9519958496094,-410.657958984375,-367.0801086425781,-310.28411865234375,-270.5704345703125,-243.2940673828125,-826.4867553710938,51.752017974853516,-16.194743866024567,1.0367359135964311,0.0,1.0,distribution_shift
x,short_gam,short-to-seasonal GAM $\chi^\mathrm{S}$,train,Training,mas,8371,360,3013560,-1.811920495505488,30.841224003599695,-1.6846561431884766,-60.748975722789766,-42.53177099227905,-18.90180492401123,15.02314567565918,39.82854537963867,58.783767471313496,-1571.0731048583984,1088.9190483093262,-15.994175692704703,0.9044543310452834,0.0,1.0,distribution_shift
y,short_gam,short-to-seasonal GAM $\chi^\mathrm{S}$,train,Training,mas,8371,360,3013560,4.648654658395124,44.67014494295378,4.6809844970703125,-97.23078796386719,-68.64656219482421,-25.23548126220703,34.664772033691406,78.27534484863276,104.68790542602557,-517.6357421875,376.2136878967285,35.745856325699876,1.0071990634966153,0.0,1.0,distribution_shift
x,normalized_target,normalized target $\tilde{\chi}^\mathrm{S}$,train,Training,standardized units,8371,360,3013560,2.4167639076510926e-19,1.000000165050501,-0.01811537418123281,-2.246377591404982,-1.5980067385578065,-0.6795378290206737,0.6521687762551622,1.674328240203902,2.3728256740534075,-15.168259204997591,13.119938068688292,1.962002536214705e-18,1.000004328968017,0.0,1.0,distribution_shift
y,normalized_target,normalized target $\tilde{\chi}^\mathrm{S}$,train,Training,standardized units,8371,360,3013560,5.352247873529737e-19,1.0000001656191793,0.011413750461869838,-2.299388950475595,-1.6558143060740542,-0.6777783797685143,0.6935446524004171,1.6190957559577832,2.209317969154737,-9.553925767738331,6.423599253083316,-3.281839102139409e-18,1.000004328930313,0.0,1.0,distribution_shift
x,raw_gam,raw GAM $\chi^\mathrm{G}$,val,Validation,mas,1433,360,515880,120.3000275804801,26.136753361584134,119.3985366821289,60.165340423583984,78.91857147216797,101.91089630126953,137.4898681640625,165.64222717285156,182.2215576171875,38.693450927734375,198.16131591796875,75.98400196560206,0.6910649012148558,55.92268099708875,0.6878103389056315,distribution_shift
y,raw_gam,raw GAM $\chi^\mathrm{G}$,val,Validation,mas,1433,360,515880,-354.8590155593885,42.86555690635631,-355.6421813964844,-459.23895263671875,-424.4227600097656,-382.5931701660156,-328.63092041015625,-281.9447937011719,-245.61074829101562,-501.7091064453125,-216.28555297851562,-16.194743866024567,1.0367359135964311,-15.803233103222851,0.9981584754996067,distribution_shift
x,short_gam,short-to-seasonal GAM $\chi^\mathrm{S}$,val,Validation,mas,1433,360,515880,-1.3740951523148959,25.291638249002737,-2.990612030029297,-60.770211639404295,-41.22115135192871,-18.667068481445312,15.77052116394043,41.733766555786126,59.675672225952155,-79.7414779663086,77.1855239868164,-15.994175692704703,0.9044543310452834,0.4378253431905921,0.8200594842166696,distribution_shift
y,short_gam,short-to-seasonal GAM $\chi^\mathrm{S}$,val,Validation,mas,1433,360,515880,17.72538664845096,44.06471354814088,18.558349609375,-90.91491485595704,-54.68896636962891,-10.453071594238281,44.841270446777344,92.45330505371092,131.42914611816406,-136.11770629882812,158.18539428710938,35.745856325699876,1.0071990634966153,13.076731990055837,0.9864466212145478,distribution_shift
