variant,label,family,preferred,horizon_day,pm_rmse,pm_mae,delta_pm_rmse,delta_pm_rmse_pct,metrics_json
baseline,Full baseline,reference,True,1,0.1012227742541457,0.0806672130877146,0.0,0.0,results_pm7_ablation_20260531_2257\eval\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
baseline,Full baseline,reference,True,7,1.235489599488209,0.8126640832512344,0.0,0.0,results_pm7_ablation_20260531_2257\eval\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
baseline,Full baseline,reference,True,10,1.7530134629173266,1.1671351104314682,0.0,0.0,results_pm7_ablation_20260531_2257\eval\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
baseline,Full baseline,reference,True,14,2.335092601201905,1.5685921890195675,0.0,0.0,results_pm7_ablation_20260531_2257\eval\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
baseline,Full baseline,reference,True,30,4.28889269341178,2.9627149500972525,0.0,0.0,results_pm7_ablation_20260531_2257\eval\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
no_pm_reconstruction_loss,No PM reconstruction loss,loss,True,1,0.1033472959544453,0.0819512483660843,0.0021245217002996003,2.0988574122316037,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_0_abmodel_no_pm_reconstruction_loss\test\test_metrics.json
no_pm_reconstruction_loss,No PM reconstruction loss,loss,True,7,1.2311248455457693,0.8114050105145227,-0.004364753942439625,-0.35328131813069796,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_0_abmodel_no_pm_reconstruction_loss\test\test_metrics.json
no_pm_reconstruction_loss,No PM reconstruction loss,loss,True,10,1.7519841712584197,1.1694360888010877,-0.0010292916589069723,-0.05871555927437361,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_0_abmodel_no_pm_reconstruction_loss\test\test_metrics.json
no_pm_reconstruction_loss,No PM reconstruction loss,loss,True,14,2.34596719230771,1.5805599585500554,0.01087459110580502,0.4657027777060197,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_0_abmodel_no_pm_reconstruction_loss\test\test_metrics.json
no_pm_reconstruction_loss,No PM reconstruction loss,loss,True,30,4.31814216249325,3.002719902123193,0.029249469081469748,0.6819818347612243,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_0_abmodel_no_pm_reconstruction_loss\test\test_metrics.json
