target_label,source_family,model_label,same_axis_enrichment,cross_axis_enrichment,axis_preference_delta
chi_x,AAM,No axis-aware,1.6882828332885156,1.6381752404093932,0.0501075928791223
chi_x,AAM,Full,2.0207837921298446,1.5992026418380108,0.4215811502918338
chi_y,AAM,No axis-aware,1.7544806782839195,1.525691913900854,0.2287887643830655
chi_y,AAM,Full,2.015064889933251,1.2509976388170945,0.7640672511161564
chi_x,OAM,No axis-aware,1.2199756146398333,1.1476690865141332,0.0723065281257
chi_x,OAM,Full,1.243149501916044,0.917418519210466,0.3257309827055782
chi_y,OAM,No axis-aware,1.2068426071191287,1.123141593457059,0.0837010136620697
chi_y,OAM,Full,1.425622102909339,1.0120438258338822,0.4135782770754568
chi_x,HAM,No axis-aware,0.3421655536833631,0.4898419199662064,-0.1476763662828433
chi_x,HAM,Full,0.4426000282224104,0.4169013122542235,0.0256987159681869
chi_y,HAM,No axis-aware,0.5177507143323069,0.3689337778048659,0.1488169365274409
chi_y,HAM,Full,0.5721002874331583,0.2852374878245309,0.2868627996086274
chi_x,SLAM,No axis-aware,0.7584846868800966,0.7154050646184579,0.0430796222616387
chi_x,SLAM,Full,0.7627115365146317,0.5972326679143696,0.1654788686002621
chi_y,SLAM,No axis-aware,0.7621906652401848,0.7409680498616804,0.0212226153785043
chi_y,SLAM,Full,0.8231723924991454,0.6157613747495984,0.207411017749547
